id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2026-07-01 05:12:27,[3],0.088,False,1710,29749,171,9,1.4.0,1093488,0.042023003
dcr.cerebro.host,mainnet,2024-09-09,2026-07-01 05:12:27,[3],0.888,False,21,154,0,3,1.4.0+d190a83b6,1093488,0.000516072
dcrhive.com,mainnet,2022-06-23,2026-07-01 05:12:27,[3],1,False,207,31607,244,2,1.4.0+d190a83b6,1092382,0.005057539000000001
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2026-07-01 05:12:27,[3],0.9500000000000001,False,153,15577,106,320,1.4.0+d190a83b6,1093488,0.0037599527000000002
decred.stake.fun,mainnet,2021-01-28,2026-07-01 05:12:27,[3],0.5,False,40,35168,217,111,1.4.0,1093488,0.0009829942000000001
decredvoting.com,mainnet,2021-02-01,2026-07-01 05:12:27,[3],1,False,220,9688,71,2,1.4.0,1093488,0.005406468
stakey.net,mainnet,2020-10-22,2026-07-01 05:12:27,[3],1,False,529,38325,291,5,1.4.0,1093488,0.013000098000000002
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2026-07-01 05:12:27,[3],0.6900000000000001,False,459,453250,1038,1070,1.5.0-pre+7e6d8d7d3,1947912,0.08935176
teststakepool.decred.org,testnet,2020-06-01,2026-07-01 05:12:27,[3],3,False,0,213770,488,571,1.4.0-pre+5263bfc2e,1947912,0
ultravsp.uk,mainnet,2020-12-01,2026-07-01 05:12:27,[3],0.30000000000000004,False,276,22367,148,4,1.4.0+d190a83b6,1093488,0.00678266
vote.dcr-swiss.ch,mainnet,2023-06-30,2026-07-01 05:12:27,[3],0.18,False,577,35389,237,3,1.4.0+d190a83b6,1093488,0.014179692
vsp.dcr.farm,mainnet,2020-12-09,2026-07-01 05:12:27,[3],0.5,False,993,20677,117,2,1.4.0,1093488,0.02440283
vsp.decredcommunity.org,mainnet,2020-11-05,2026-07-01 05:12:27,[3],0.49,False,310,26122,162,41,1.4.0+d190a83b6,1093488,0.007618205
vsp.stakeminer.com,mainnet,2020-11-09,2026-07-01 05:12:27,[3],1,False,179,37923,253,0,1.4.0+d190a83b6,1093488,0.004398899
vspd.bass.cf,mainnet,2022-05-01,2026-07-01 05:12:27,[3],0.16,False,133,31169,187,80,1.4.0,1093488,0.0032684556
