id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2026-07-13 04:22:11,[3],0.088,False,1766,30450,173,9,1.4.0,1096951,0.04305322
dcr.cerebro.host,mainnet,2024-09-09,2026-07-13 04:22:11,[3],0.888,False,18,161,0,3,1.4.0+d190a83b6,1096951,0.00043882104
dcrhive.com,mainnet,2022-06-23,2026-07-13 04:22:12,[3],1,False,246,31702,244,2,1.4.0+d190a83b6,1096865,0.00599386
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2026-07-13 04:22:11,[3],0.9500000000000001,False,156,15635,106,320,1.4.0+d190a83b6,1096951,0.0038031156000000003
decred.stake.fun,mainnet,2021-01-28,2026-07-13 04:22:11,[3],0.5,False,30,35181,219,111,1.4.0,1096951,0.0007313684000000001
decredvoting.com,mainnet,2021-02-01,2026-07-13 04:22:11,[3],1,False,215,9796,71,2,1.4.0,1096951,0.0052414737
stakey.net,mainnet,2020-10-22,2026-07-13 04:22:11,[3],1,False,402,38534,291,5,1.4.0,1096951,0.009800336
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2026-07-08 20:27:47,[3],0.6900000000000001,False,1142,457560,1041,1070,1.5.0-pre+7e6d8d7d3,1953406,0.22378993
teststakepool.decred.org,testnet,2020-06-01,2026-07-13 04:22:11,[3],3,False,0,213770,488,571,1.4.0-pre+5263bfc2e,1956513,0
ultravsp.uk,mainnet,2020-12-01,2026-07-13 04:22:11,[3],0.30000000000000004,False,290,22444,149,4,1.4.0+d190a83b6,1095715,0.0070458464
vote.dcr-swiss.ch,mainnet,2023-06-30,2026-07-13 04:22:11,[3],0.18,False,586,35615,239,3,1.4.0+d190a83b6,1096951,0.014286063000000002
vsp.dcr.farm,mainnet,2020-12-09,2026-07-13 04:22:11,[3],0.5,False,983,21064,118,2,1.4.0,1096951,0.023964504
vsp.decredcommunity.org,mainnet,2020-11-05,2026-07-13 04:22:11,[3],0.49,False,294,26241,163,41,1.4.0+d190a83b6,1096950,0.007168109000000001
vsp.stakeminer.com,mainnet,2020-11-09,2026-07-13 04:22:11,[3],1,False,224,38005,255,0,1.4.0+d190a83b6,1096951,0.005460884
vspd.bass.cf,mainnet,2022-05-01,2026-07-13 04:22:11,[3],0.16,False,167,31238,187,80,1.4.0,1096951,0.0040712840000000005
