pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
cedric-crispin.com,https://decred.cedric-crispin.com,8684077143381,86,0.001,36,PPLNS,0,0,19955,20,1058703,1772421500,276,29,74,0,9198813994724.902,168,30.63,-1.6292924689574164
woolypooly.com,https://woolypooly.com,2664483127296,58,0.05,37,PPLNS%0.9|SOLO%0.9,0,0,16398,0,1058686,1772415706,75,10,74,0,1849622077368.4517,168,8.37,1.6292924689574164
suprnova.cc,https://dcr.suprnova.cc,682138570961,3,0.001,8,PPLNS,0,0,19955,0,0,0,0,0,74,0,62201237720.68965,87,2.03,0
