pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
woolypooly.com,https://woolypooly.com,1308418801664,42,0.05,37,PPLNS%0.9|SOLO%0.9,0,0,18298,0,1109503,1787708523,94,10,73,0,1137742653369.0476,168,9.02,0.9848602220940155
suprnova.cc,https://dcr.suprnova.cc,0,0,0.001,8,PPLNS,0,0,22026,0,0,0,0,0,73,0,795464555.2559524,168,0,0
cedric-crispin.com,https://decred.cedric-crispin.com,496754566736,11,0.001,36,PPLNS,0,0,22026,20,1109459,1787697183,27,2,73,0,463078406552.1131,168,2.98,-0.9848602220940155
