rank,useragent,count
1,/dcrwire:1.0.0/dcrd:2.1.5/,65
2,/dcrwire:1.0.0/dcrd:2.1.1/,31
3,/dcrwire:1.0.0/dcrd:2.1.2/,24
4,/dcrwire:1.0.0/dcrd:2.1.3/,19
5,/dcrwire:1.0.0/dcrd:2.1.0/,10
6,/dcrwire:1.0.0/dcrd:2.1.4/,9
7,/dcrwire:1.0.0/dcrd:2.2.0(pre)/,2
8,/dcrwire:1.0.0/dcrd:2.0.1/,1
9,/dcrwire:1.0.0/dcrd:2.0.6/,1
