rank,useragent,count
1,/dcrwire:1.0.0/dcrd:2.1.5/,70
2,/dcrwire:1.0.0/dcrd:2.1.1/,30
3,/dcrwire:1.0.0/dcrd:2.1.2/,24
4,/dcrwire:1.0.0/dcrd:2.1.3/,20
5,/dcrwire:1.0.0/dcrd:2.1.4/,11
6,/dcrwire:1.0.0/dcrd:2.1.0/,10
7,/dcrwire:1.0.0/dcrd:2.0.1/,1
8,/dcrwire:1.0.0/dcrd:2.0.3/,1
9,/dcrwire:1.0.0/dcrd:2.0.6/,1
