baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,usdc.polygon,34000000,0,0.0,0,34000000,34000000,0.0,2026-03-06 03:23:30.019
btc,usdt.polygon,82956946910,0,0.0,0,82956946910,82956946910,0.0,2026-03-06 03:23:30.018
usdc.polygon,usdt.polygon,100000000,0,0.0,0,100000000,100000000,0.0,2026-03-06 03:23:30.019
dcr,usdt.polygon,32461790,0,0.0,0,32461790,32461790,0.0,2026-03-06 03:23:30.024
dcr,polygon,300000000000,0,0.0,0,300000000000,300000000000,0.0,2026-03-06 03:23:30.018
ltc,usdt.polygon,83000000,0,0.0,0,83000000,83000000,0.0,2026-03-06 03:23:30.019
dcr,btc,44030,0,0.004792332268370607,4640,44030,42880,145932.486404806,2026-03-06 03:23:30.019
firo,usdt.polygon,3973350,0,0.0,0,3973350,3973350,0.0,2026-03-06 03:23:30.019
