rank,useragent,count
1,/dcrwire:1.0.0/dcrd:2.1.6/,79
2,/dcrwire:1.0.0/dcrd:2.1.1/,21
3,/dcrwire:1.0.0/dcrd:2.1.5/,19
4,/dcrwire:1.0.0/dcrd:2.1.2/,17
5,/dcrwire:1.0.0/dcrd:2.1.3/,14
6,/dcrwire:1.0.0/dcrd:2.1.4/,6
7,/dcrwire:1.0.0/dcrd:2.2.0(pre)/,4
8,/dcrwire:1.0.0/dcrd:2.0.6/,1
9,/dcrwire:1.0.0/dcrd:2.1.0/,1
10,/dcrwire:1.0.0/dcrd:2.0.3/,1
