rank,useragent,count
1,/dcrwire:1.0.0/dcrd:2.1.6/,89
2,/dcrwire:1.0.0/dcrd:2.1.1/,18
3,/dcrwire:1.0.0/dcrd:2.1.2/,16
4,/dcrwire:1.0.0/dcrd:2.1.3/,16
5,/dcrwire:1.0.0/dcrd:2.1.5/,11
6,/dcrwire:1.0.0/dcrd:2.1.4/,6
7,/dcrwire:1.0.0/dcrd:2.2.0(pre)/,4
8,/dcrwire:1.0.0/dcrd:2.0.3/,2
9,/dcrwire:1.0.0/dcrd:2.1.0/,1
