baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,btc,33740,0,0.054375,2840.0,36500,31990,57001.35907392881,2026-02-07 03:20:40.401
dcr,usdc.polygon,18370440,0,0.0,0.0,18370440,18370440,0.0,2026-02-07 03:20:45.018
dcr,usdt.polygon,23449800,0,0.0670587287741097,2.7,24245730,21156270,54.19143292239711,2026-02-07 03:20:45.019
ltc,usdt.polygon,83000000,0,0.0,0.0,83000000,83000000,0.0,2026-02-07 03:20:45.019
dcr,polygon,70786002030,0,0.0,0.0,70786002030,70786002030,0.0,2026-02-07 03:20:45.018
firo,usdt.polygon,3973350,0,0.0,0.0,3973350,3973350,0.0,2026-02-07 03:20:45.018
usdc.polygon,usdt.polygon,100000000,0,0.0,0.0,100000000,100000000,0.0,2026-02-07 03:20:45.016
btc,usdt.polygon,82956946910,0,0.0,0.0,82956946910,82956946910,0.0,2026-02-07 03:20:45.019
