pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
woolypooly.com,https://woolypooly.com,1777543741440,39,0.05,37,PPLNS%0.9|SOLO%0.9,0,0,18674,0,1115472,1789532931,183,19,63,0,1427707462448.2144,168,17.08,1.9182552174520744
suprnova.cc,https://dcr.suprnova.cc,0,0,0.001,8,PPLNS,0,0,22450,0,0,0,0,0,63,0,690268050.2678571,168,0,0
cedric-crispin.com,https://decred.cedric-crispin.com,512379505083,10,0.001,36,PPLNS,0,0,22450,19,1115475,1789533595,54,3,63,0,436209860342.2618,168,4.92,-1.9182552174520726
