pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
woolypooly.com,https://woolypooly.com,906180853760,27,0.05,37,PPLNS%0.9|SOLO%0.9,0,0,18674,0,1115743,1789621859,181,14,78,0,1400154042591.667,168,14.62,-0.6228478755154594
suprnova.cc,https://dcr.suprnova.cc,0,0,0.001,8,PPLNS,0,0,22450,0,0,0,0,0,78,0,540229689.9047619,168,0,0
cedric-crispin.com,https://decred.cedric-crispin.com,394059427708,10,0.001,36,PPLNS,0,0,22450,20,1115738,1789618321,51,6,78,0,446007548496.4286,168,5.38,0.6228478755154585
