baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
usdc.polygon,usdt.polygon,100000000,0,0.0,0.0,100000000,100000000,0.0,2026-06-04 05:50:45.019
dcr,polygon,26000000000,0,0.0,0.0,26000000000,26000000000,0.0,2026-06-04 05:50:45.026
firo,usdt.polygon,3973350,0,0.0,0.0,3973350,3973350,0.0,2026-06-04 05:50:45.023
dcr,btc,22030,0,-0.00406871609403255,1623.9144,22560,22030,23976.005107073124,2026-06-04 05:50:50.321
btc,usdt.polygon,82956946910,0,0.0,0.0,82956946910,82956946910,0.0,2026-06-04 05:50:45.016
dcr,usdc.polygon,34000000,0,0.0,0.0,34000000,34000000,0.0,2026-06-04 05:50:45.023
dcr,usdt.polygon,27523620,0,0.0,0.0,27523620,27523620,0.0,2026-06-04 05:50:45.024
ltc,usdt.polygon,83000000,0,0.0,0.0,83000000,83000000,0.0,2026-06-04 05:50:45.023
