side,qty,rate,time
2,0.4,102193560,2025-05-22 02:35:04.326
2,0.4,101211650,2025-05-22 02:35:03.922
2,0.4,100229740,2025-05-22 02:35:03.548
2,0.4,99247830,2025-05-22 02:35:03.135
1,0.4,97134090,2025-05-22 02:35:01.193
1,0.4,96152180,2025-05-22 02:35:01.567
1,0.4,95170270,2025-05-22 02:35:02.024
1,0.4,94188360,2025-05-22 02:35:02.540
