id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2026-06-22 06:20:01,[3],0.088,False,1879,29192,170,9,1.4.0,1090951,0.045391954000000005
dcr.cerebro.host,mainnet,2024-09-09,2026-06-22 06:20:02,[3],0.888,False,22,151,0,3,1.4.0+d190a83b6,1090951,0.00053146516
dcrhive.com,mainnet,2022-06-23,2026-06-22 06:20:02,[3],1,False,214,31574,244,2,1.4.0+d190a83b6,1090951,0.005169706400000001
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2026-06-22 06:20:01,[3],0.9500000000000001,False,157,15540,106,320,1.4.0+d190a83b6,1090951,0.0037927285
decred.stake.fun,mainnet,2021-01-28,2026-06-22 06:20:01,[3],0.5,False,49,35156,215,111,1.4.0,1090951,0.0011837179
decredvoting.com,mainnet,2021-02-01,2026-06-22 06:20:01,[3],1,False,47,9661,71,2,1.4.0,1090951,0.0011354028
stakey.net,mainnet,2020-10-22,2026-06-22 06:20:02,[3],1,False,687,38134,291,5,1.4.0,1090951,0.016596207
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2026-06-22 06:20:01,[3],0.6900000000000001,False,460,450449,1028,1070,1.5.0-pre+7e6d8d7d3,1941463,0.09010774
teststakepool.decred.org,testnet,2020-06-01,2026-06-22 06:20:01,[3],3,False,0,213770,488,571,1.4.0-pre+5263bfc2e,1941463,0
ultravsp.uk,mainnet,2020-12-01,2026-06-22 06:20:02,[3],0.30000000000000004,False,281,22289,147,4,1.4.0+d190a83b6,1090951,0.006788259400000001
vote.dcr-swiss.ch,mainnet,2023-06-30,2026-06-22 06:20:02,[3],0.18,False,603,35213,235,3,1.4.0+d190a83b6,1090951,0.014566977
vsp.dcr.farm,mainnet,2020-12-09,2026-06-22 06:20:02,[3],0.5,False,1021,20381,116,2,1.4.0,1090951,0.024664816000000003
vsp.decredcommunity.org,mainnet,2020-11-05,2026-06-22 06:20:02,[3],0.49,False,334,26021,162,41,1.4.0+d190a83b6,1090951,0.008068607
vsp.stakeminer.com,mainnet,2020-11-09,2026-06-22 06:20:01,[3],1,False,156,37882,253,0,1.4.0+d190a83b6,1090951,0.0037685712
vspd.bass.cf,mainnet,2022-05-01,2026-06-22 06:20:02,[3],0.16,False,151,31127,187,80,1.4.0,1090951,0.0036477835
