id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2026-03-16 03:46:43,[3],0.088,False,1625,22518,128,9,1.4.0,1062761,0.040133364000000005
dcr.cerebro.host,mainnet,2024-09-09,2026-03-16 03:46:43,[3],0.888,False,27,55,0,3,1.4.0+d190a83b6,1062761,0.0006668313
dcrhive.com,mainnet,2022-06-23,2026-03-16 03:46:43,[3],1,False,220,30844,231,2,1.4.0+d190a83b6,1062761,0.00543344
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2026-03-16 03:46:43,[3],0.9500000000000001,False,103,15172,102,320,1.4.0+d190a83b6,1062761,0.002543838
decred.stake.fun,mainnet,2021-01-28,2026-03-16 03:46:43,[3],0.5,False,930,33983,198,105,1.4.0,1062761,0.022968635
decredvoting.com,mainnet,2021-02-01,2026-03-16 03:46:43,[3],1,False,70,9499,67,2,1.4.0,1062761,0.0017288219
stakey.net,mainnet,2020-10-22,2026-03-16 03:46:43,[3],1,False,101,36958,285,5,1.4.0,1062761,0.0024944430000000003
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2026-03-16 03:46:43,[3],0.6900000000000001,False,437,412941,939,1065,1.4.0+d190a83b6,1870832,0.08501945400000001
teststakepool.decred.org,testnet,2020-06-01,2026-03-16 03:46:43,[3],3,False,0,213770,488,571,1.4.0-pre+5263bfc2e,1870832,0
ultravsp.uk,mainnet,2020-12-01,2026-03-16 03:46:43,[3],0.30000000000000004,False,433,21138,135,4,1.4.0+d190a83b6,1062761,0.010693998000000001
vote.dcr-swiss.ch,mainnet,2023-06-30,2026-03-16 03:46:43,[3],0.18,False,574,33167,214,3,1.4.0+d190a83b6,1062760,0.014178091
vsp.dcr.farm,mainnet,2020-12-09,2026-03-16 03:46:43,[3],0.5,False,153,17751,102,2,1.4.0,1062761,0.0037787107
vsp.decredcommunity.org,mainnet,2020-11-05,2026-03-16 03:46:43,[3],0.49,False,612,24246,150,41,1.4.0+d190a83b6,1062761,0.015114843000000001
vsp.stakeminer.com,mainnet,2020-11-09,2026-03-16 03:46:43,[3],1,False,372,37210,245,0,1.4.0+d190a83b6,1062761,0.009187453
vspd.bass.cf,mainnet,2022-05-01,2026-03-16 03:46:43,[3],0.16,False,132,30486,183,80,1.4.0,1062761,0.0032600642
