id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2026-03-03 03:27:34,[3],0.088,False,1496,21797,126,9,1.4.0,1058986,0.036221884
dcr.cerebro.host,mainnet,2024-09-09,2026-03-03 03:27:34,[3],0.888,False,33,45,0,3,1.4.0+d190a83b6,1058986,0.00079901214
dcrhive.com,mainnet,2022-06-23,2026-03-03 03:27:34,[3],1,False,237,30741,230,2,1.4.0+d190a83b6,1058986,0.0057383600000000005
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2026-03-03 03:27:34,[3],0.9500000000000001,False,101,15129,102,320,1.4.0+d190a83b6,1058986,0.0024454615
decred.stake.fun,mainnet,2021-01-28,2026-03-03 03:27:34,[3],0.5,False,949,33584,198,105,1.4.0,1058986,0.022977652
decredvoting.com,mainnet,2021-02-01,2026-03-03 03:27:34,[3],1,False,88,9452,67,2,1.4.0,1058986,0.0021306990000000002
stakey.net,mainnet,2020-10-22,2026-03-03 03:27:35,[3],1,False,122,36912,285,5,1.4.0,1058986,0.0029539235
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2026-03-03 03:27:34,[3],0.6900000000000001,False,444,408824,935,1065,1.4.0+d190a83b6,1861462,0.08687145
teststakepool.decred.org,testnet,2020-06-01,2026-03-03 03:27:34,[3],3,False,0,213770,488,571,1.4.0-pre+5263bfc2e,1861462,0
ultravsp.uk,mainnet,2020-12-01,2026-03-03 03:27:34,[3],0.30000000000000004,False,309,20991,135,4,1.4.0+d190a83b6,1058986,0.007481659000000001
vote.dcr-swiss.ch,mainnet,2023-06-30,2026-03-03 03:27:34,[3],0.18,False,704,32860,211,3,1.4.0+d190a83b6,1058985,0.01704353
vsp.dcr.farm,mainnet,2020-12-09,2026-03-03 03:27:34,[3],0.5,False,170,17683,102,2,1.4.0,1058986,0.004116123
vsp.decredcommunity.org,mainnet,2020-11-05,2026-03-03 03:27:34,[3],0.49,False,597,23971,148,41,1.4.0+d190a83b6,1058986,0.014454856
vsp.stakeminer.com,mainnet,2020-11-09,2026-03-03 03:27:34,[3],1,False,502,37003,245,0,1.4.0+d190a83b6,1058986,0.0121546695
vspd.bass.cf,mainnet,2022-05-01,2026-03-03 03:27:34,[3],0.16,False,154,30422,182,80,1.4.0,1058986,0.0037287234000000003
