baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
btc,usdt.polygon,82956946910,0,0,0,82956946910,82956946910,0.0,2025-12-11 02:49:15.021
ltc,usdt.polygon,88146680,0,0,0,88146680,88146680,0.0,2025-12-11 02:49:15.023
usdc.polygon,usdt.polygon,100000000,0,0,0,100000000,100000000,0.0,2025-12-11 02:49:15.018
dcr,usdc.polygon,30000000,0,0,0,30000000,30000000,0.0,2025-12-11 02:49:15.021
dcr,polygon,70786002030,0,0,0,70786002030,70786002030,0.0,2025-12-11 02:49:15.021
dcr,usdt.polygon,24783530,0,0,0,24783530,24783530,0.0,2025-12-11 02:49:15.250
firo,usdt.polygon,3973350,0,0,0,3973350,3973350,0.0,2025-12-11 02:49:15.021
dcr,btc,24400,0,0,0,24400,24400,0.0,2025-12-11 02:49:10.017
