side,qty,rate,time
2,320.0,1000000,2025-11-07 05:44:10.447
2,320.0,100000,2025-11-07 05:42:14.446
2,400.0,69000,2025-11-05 22:10:18.448
2,320.0,67000,2025-11-05 22:09:56.447
2,320.0,64000,2025-11-05 22:09:44.447
2,360.0,49000,2025-11-05 22:08:54.447
2,40.0,48900,2025-11-07 11:48:28.681
2,120.0,47000,2025-11-05 22:08:32.446
2,120.0,44990,2025-11-07 02:04:00.447
2,40.0,43330,2025-11-07 11:48:41.240
2,400.0,40000,2025-11-06 18:42:56.447
2,400.0,37500,2025-11-06 18:42:34.446
2,40.0,30130,2025-11-08 02:19:15.934
2,40.0,29560,2025-11-08 02:19:15.826
2,40.0,28990,2025-11-08 02:20:00.817
1,40.0,28240,2025-11-08 02:20:00.842
1,40.0,26720,2025-11-08 02:19:15.722
1,320.0,15000,2025-11-07 05:40:26.795
1,320.0,10000,2025-11-07 05:41:17.009
1,640.0,5000,2025-11-07 05:41:33.374
1,4000.0,1010,2025-11-04 15:50:35.403
1,20000.0,590,2025-11-01 08:18:14.215
