pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
threepool.tech,https://dcr.threepool.tech,-1,-1,-1,35,PPLNS,0,0,0,0,1035248,1765422648,0,0,0,0,0,0,0,0
woolypooly.com,https://woolypooly.com,1476094328832,37,0.05,37,PPLNS%0.9|SOLO%0.9,0,0,16282,0,1053484,1770865439,56,4,82,0,1012318064638.0953,168,6.37,-2.370896999936954
cedric-crispin.com,https://decred.cedric-crispin.com,5423031857288,59,0.001,36,PPLNS,0,0,19839,21,1053480,1770864695,228,26,82,0,6124906420494.047,168,23.63,2.3708969999369565
