rank,useragent,count
1,/dcrwire:1.0.0/dcrd:2.1.5/,64
2,/dcrwire:1.0.0/dcrd:2.1.1/,32
3,/dcrwire:1.0.0/dcrd:2.1.2/,24
4,/dcrwire:1.0.0/dcrd:2.1.3/,21
5,/dcrwire:1.0.0/dcrd:2.1.4/,11
6,/dcrwire:1.0.0/dcrd:2.1.0/,10
7,/dcrwire:1.0.0/dcrd:2.0.6/,2
8,/dcrwire:1.0.0/dcrd:2.2.0(pre)/,2
9,/dcrwire:1.0.0/dcrd:2.0.1/,1
10,/dcrwire:1.0.0/dcrd:2.0.3/,1
