id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2025-11-17 02:40:29,[3],0.088,False,1400,15935,82,3,1.3.2,1028473,0.034639746
dcrhive.com,mainnet,2022-06-23,2025-11-17 02:40:29,[3],1,False,265,29618,225,1,1.3.2+bec2d12a0,1028472,0.006555998
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2025-11-17 02:40:29,[3],0.9500000000000001,False,92,14800,99,320,1.3.2+bec2d12a0,1028469,0.0022765514
decred.stake.fun,mainnet,2021-01-28,2025-11-17 02:40:29,[3],0.5,False,65,31669,194,46,1.3.1,1028472,0.001608075
decredvoting.com,mainnet,2021-02-01,2025-11-17 02:40:29,[3],1,False,248,9017,61,1,1.3.2,1028473,0.0061361836
stakey.net,mainnet,2020-10-22,2025-11-17 02:40:29,[3],1,False,170,36267,276,4,1.3.2+f79363a87,1028473,0.004206255
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2025-11-17 02:40:29,[3],0.6900000000000001,False,506,373752,841,1063,1.4.0-pre+5263bfc2e,1785116,0.09857783
teststakepool.decred.org,testnet,2020-06-01,2025-11-17 02:40:29,[3],3,False,0,213770,488,571,1.4.0-pre+5263bfc2e,1785116,0
ultravsp.uk,mainnet,2020-12-01,2025-11-17 02:40:30,[3],0.30000000000000004,False,324,19905,120,3,1.4.0-pre+015cf707b,1024726,0.007836687
vote.dcr-swiss.ch,mainnet,2023-06-30,2025-11-17 02:40:29,[3],0.18,False,907,29710,189,1,1.3.2+bec2d12a0,1028472,0.022438832000000002
vsp.dcr.farm,mainnet,2020-12-09,2025-11-17 02:40:29,[3],0.5,False,253,15900,90,2,1.3.2,1028472,0.006259123
vsp.decredcommunity.org,mainnet,2020-11-05,2025-11-17 02:40:30,[3],0.49,False,377,22132,140,12,1.3.2+bec2d12a0,1028469,0.009328912
vsp.stakeminer.com,mainnet,2020-11-09,2025-11-17 02:40:29,[3],1,False,209,35876,233,0,1.3.2+81acb861c,1028472,0.0051705795
vspd.bass.cf,mainnet,2022-05-01,2025-11-17 02:40:29,[3],0.16,False,351,29650,174,79,1.3.2,1028473,0.008684679
