baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,btc,13170,0,0.012298232129131437,2920,19000,12880,35904.514957252315,2025-05-05 02:39:45.020
btc,usdt.polygon,93567490000,0,0.0,0,93567490000,93567490000,0.0,2025-05-05 02:39:45.021
ltc,usdt.polygon,88146680,0,0.0,0,88146680,88146680,0.0,2025-05-05 02:39:45.021
firo,usdc.polygon,700000,0,0.23470944640920036,6,713370,566935,3.833472856512384,2025-05-05 02:39:45.020
dcr,polygon,53965600080,0,0.0,0,53965600080,53965600080,0.0,2025-05-05 02:39:45.020
dcr,usdt.polygon,13012730,0,0.0,0,13012730,13012730,0.0,2025-05-05 02:39:45.021
dcr,usdc.polygon,13500400,0,0.0,0,13500400,13500400,0.0,2025-05-05 02:39:45.020
usdc.polygon,usdt.polygon,100685010,0,0.0,0,100685010,100685010,0.0,2025-05-05 02:39:45.018
