pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
miningandco.com,https://decred.miningandco.com,10700000000000,-1,-1,33,PPS,0,0,0,10,1011234,1758231567,130,10,79,0,10785615224852.072,169,27.29,-17.287737190356143
threepool.tech,https://dcr.threepool.tech,4570000000000,-1,-1,35,PPLNS,0,0,0,10,1011287,1758247139,283,23,79,0,5404593574887.577,169,12.01,10.991622049801608
woolypooly.com,https://woolypooly.com,0,0,0.05,37,PPLNS%0.9|SOLO%0.9,0,0,15766,0,0,0,0,0,79,0,0,169,0,0
cedric-crispin.com,https://decred.cedric-crispin.com,2002013066973,9,0.001,36,PPLNS,0,0,19259,20,1011285,1758246671,81,11,79,0,1282067820759.9006,141,4.7,6.2961151405545355
