baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,usdc.polygon,16500000,0,0.0,0,16500000,16500000,0.0,2025-09-10 02:16:15.021
dcr,usdt.polygon,16591400,0,0.0,0,16591400,16591400,0.0,2025-09-10 02:16:15.021
dcr,btc,15090,0,0.012072434607645875,160,15180,14910,2707.224094365936,2025-09-10 02:16:15.021
dcr,polygon,70786002030,0,0.0,0,70786002030,70786002030,0.0,2025-09-10 02:16:15.021
firo,usdc.polygon,682810,0,0.0,0,682810,682810,0.0,2025-09-10 02:16:15.020
ltc,usdt.polygon,88146680,0,0.0,0,88146680,88146680,0.0,2025-09-10 02:16:15.020
btc,usdt.polygon,110160976260,0,0.0,0,110160976260,110160976260,0.0,2025-09-10 02:16:15.020
usdc.polygon,usdt.polygon,100000000,0,0.0,0,100000000,100000000,0.0,2025-09-10 02:16:15.018
