baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
ltc,usdt.polygon,88146680,0,0.0,0,88146680,88146680,0.0,2025-09-02 02:24:30.019
btc,usdt.polygon,110160976260,0,0.0,0,110160976260,110160976260,0.0,2025-09-02 02:24:30.017
usdc.polygon,usdt.polygon,100000000,0,0.0,0,100000000,100000000,0.0,2025-09-02 02:24:30.019
dcr,usdc.polygon,16049860,0,0.0,0,16049860,16049860,0.0,2025-09-02 02:24:30.019
dcr,usdt.polygon,16591400,0,0.0,0,16591400,16591400,0.0,2025-09-02 02:24:30.019
dcr,btc,14860,0,0.013642564802182811,5120,14860,14550,81710.4785215447,2025-09-02 02:24:30.019
dcr,polygon,70786002030,0,0.0,0,70786002030,70786002030,0.0,2025-09-02 02:24:30.019
firo,usdc.polygon,682810,0,0.0,0,682810,682810,0.0,2025-09-02 02:24:30.019
