pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
woolypooly.com,https://woolypooly.com,827382497280,24,0.05,37,PPLNS%0.9|SOLO%0.9,0,0,17572,0,1093781,1782964582,47,2,78,0,1012524222232.7378,168,2.55,-0.5511524922363047
suprnova.cc,https://dcr.suprnova.cc,14603408113,1,0.001,8,PPLNS,0,0,21247,0,0,0,0,0,78,0,12291106052.011902,168,0.06,0
cedric-crispin.com,https://decred.cedric-crispin.com,545259125562,11,0.001,36,PPLNS,0,0,21247,19,1093722,1782946975,21,2,78,0,587086851634.1462,164,1.45,0.5511524922363045
