baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
usdc.polygon,usdt.polygon,100000000,0,0.0,0,100000000,100000000,0.0,2026-05-11 04:54:30.017
dcr,polygon,26000000000,0,0.0,0,26000000000,26000000000,0.0,2026-05-11 04:54:30.019
firo,usdt.polygon,3973350,0,0.0,0,3973350,3973350,0.0,2026-05-11 04:54:30.022
dcr,btc,23970,0,-0.004154549231408392,680,24220,23930,13274.600169819667,2026-05-11 04:54:40.016
btc,usdt.polygon,82956946910,0,0.0,0,82956946910,82956946910,0.0,2026-05-11 04:54:30.020
dcr,usdc.polygon,34000000,0,0.0,0,34000000,34000000,0.0,2026-05-11 04:54:30.019
dcr,usdt.polygon,27523620,0,0.0,0,27523620,27523620,0.0,2026-05-11 04:54:30.020
ltc,usdt.polygon,83000000,0,0.0,0,83000000,83000000,0.0,2026-05-11 04:54:30.022
