side,qty,rate,time
2,0.1,19262490,2025-10-07 02:11:35.542
2,0.1,19243970,2025-10-07 02:11:35.253
2,0.1,19225450,2025-10-07 02:11:34.753
2,0.1,19206920,2025-10-07 02:11:34.446
2,0.1,19188400,2025-10-07 02:11:34.144
2,10.0,18979530,2025-10-07 02:04:35.018
2,10.0,18979530,2025-10-07 02:04:34.215
2,10.0,18979530,2025-10-07 02:04:34.628
2,10.0,18979530,2025-10-07 02:04:33.789
2,10.0,18969330,2025-10-07 02:04:32.503
2,10.0,18969330,2025-10-07 02:04:33.325
2,10.0,18969330,2025-10-07 02:04:32.904
2,10.0,18969330,2025-10-07 02:04:32.105
2,10.0,18950960,2025-10-07 02:04:01.450
2,10.0,18950960,2025-10-07 02:10:31.280
2,10.0,18949110,2025-10-07 02:13:30.725
2,10.0,18942740,2025-10-07 01:56:06.509
2,10.0,18931510,2025-10-07 01:56:05.616
1,10.0,18083990,2025-10-07 02:04:15.914
1,10.0,18083990,2025-10-07 02:09:45.818
1,10.0,18083990,2025-10-07 02:09:31.243
1,10.0,18074200,2025-10-07 02:06:33.147
1,10.0,18074200,2025-10-07 02:04:16.301
1,10.0,18061450,2025-10-07 02:06:33.542
1,9.1,18051650,2025-10-07 02:06:47.674
1,9.8,18051650,2025-10-07 02:06:34.353
1,0.2,18051650,2025-10-07 02:06:47.275
1,10.0,18051650,2025-10-07 02:06:33.936
1,10.0,18051650,2025-10-07 02:09:31.627
1,10.0,18042840,2025-10-07 02:09:32.388
1,10.0,18042840,2025-10-07 02:09:32.011
1,10.0,18042840,2025-10-07 02:10:30.794
1,0.1,18042840,2025-10-07 02:09:32.756
1,0.1,17856040,2025-10-07 02:11:32.237
1,0.1,17837520,2025-10-07 02:11:32.561
1,0.1,17818990,2025-10-07 02:11:32.852
1,0.1,17800470,2025-10-07 02:11:33.131
1,0.1,17781950,2025-10-07 02:11:33.487
