side,qty,rate,time
2,0.1,18206810,2025-10-05 02:25:17.005
2,0.1,18189300,2025-10-05 02:25:16.736
2,0.1,18171800,2025-10-05 02:25:16.463
2,0.1,18154290,2025-10-05 02:25:16.218
2,0.1,18136790,2025-10-05 02:25:15.982
2,10.0,17976690,2025-10-05 02:22:35.339
2,9.9,17976690,2025-10-05 02:22:37.277
2,10.0,17976690,2025-10-05 02:22:36.489
2,10.0,17976690,2025-10-05 02:22:36.104
2,10.0,17976690,2025-10-05 02:22:36.885
2,10.0,17976690,2025-10-05 02:22:35.729
2,10.0,17960360,2025-10-05 02:25:46.590
2,10.0,17957310,2025-10-05 02:22:18.228
2,10.0,17947100,2025-10-05 02:22:34.508
2,10.0,17947100,2025-10-05 02:23:45.690
2,10.0,17938930,2025-10-05 02:25:46.178
2,10.0,17938930,2025-10-05 02:25:35.040
2,10.0,17932810,2025-10-05 02:25:18.257
1,10.0,17145650,2025-10-05 02:22:32.886
1,10.0,17140750,2025-10-05 02:22:47.311
1,10.0,17136830,2025-10-05 02:22:33.264
1,10.0,17124100,2025-10-05 02:22:33.653
1,10.0,17107450,2025-10-05 02:25:33.797
1,10.0,17097650,2025-10-05 02:26:31.172
1,10.0,17097650,2025-10-05 02:26:31.566
1,10.0,17097650,2025-10-05 02:26:31.929
1,10.0,17097650,2025-10-05 02:26:16.989
1,10.0,17097650,2025-10-05 02:25:34.164
1,10.0,17084910,2025-10-05 02:26:32.756
1,10.0,17084910,2025-10-05 02:26:32.306
1,10.0,17075110,2025-10-05 02:26:33.125
1,0.1,16853130,2025-10-05 02:23:30.929
1,0.1,16835620,2025-10-05 02:23:31.151
1,0.1,16818120,2025-10-05 02:23:31.375
1,0.1,16800610,2025-10-05 02:23:31.604
1,0.1,16783100,2025-10-05 02:23:31.837
