id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2026-08-03 04:23:00,[3],0.16,False,1688,31705,185,9,1.4.0,1103047,0.041226033
dcr.cerebro.host,mainnet,2024-09-09,2026-08-03 04:23:00,[3],0.888,False,19,169,0,3,1.4.0+d190a83b6,1103047,0.00046403712
dcrhive.com,mainnet,2022-06-23,2026-08-03 04:23:00,[3],1,False,438,31945,246,2,1.4.0+d190a83b6,1103047,0.010697277
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2026-08-03 04:23:00,[3],0.9500000000000001,False,126,15731,107,320,1.4.0+d190a83b6,1103047,0.0030772989000000003
decred.stake.fun,mainnet,2021-01-28,2026-08-03 04:23:00,[3],0.5,False,209,35305,222,111,1.4.0,1103047,0.005104408
decredvoting.com,mainnet,2021-02-01,2026-08-03 04:23:00,[3],1,False,110,9914,71,2,1.4.0,1103047,0.0026865308
stakey.net,mainnet,2020-10-22,2026-08-03 04:23:01,[3],1,False,250,38750,291,5,1.4.0,1103047,0.0061057517
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2026-07-08 20:27:47,[3],0.6900000000000001,False,1142,457560,1041,1070,1.5.0-pre+7e6d8d7d3,1953406,0.22378993
teststakepool.decred.org,testnet,2020-06-01,2026-08-03 04:23:00,[3],3,False,0,213770,488,571,1.4.0-pre+5263bfc2e,1971635,0
ultravsp.uk,mainnet,2020-12-01,2026-08-03 04:23:01,[3],0.30000000000000004,False,265,22598,156,47,1.4.0+d190a83b6,1103047,0.0064720970000000004
vote.dcr-swiss.ch,mainnet,2023-06-30,2026-08-03 04:23:00,[3],0.18,False,588,36038,241,3,1.4.0+d190a83b6,1103047,0.014360728000000001
vsp.dcr.farm,mainnet,2020-12-09,2026-08-03 04:23:00,[3],0.5,False,984,21801,120,2,1.4.0,1103047,0.024032239
vsp.decredcommunity.org,mainnet,2020-11-05,2026-08-03 04:23:01,[3],0.49,False,268,26436,165,41,1.4.0+d190a83b6,1103046,0.006546005000000001
vsp.stakeminer.com,mainnet,2020-11-09,2026-08-03 04:23:00,[3],1,False,196,38147,258,0,1.4.0+d190a83b6,1103047,0.004786909000000001
vspd.bass.cf,mainnet,2022-05-01,2026-08-03 04:23:01,[3],0.16,False,165,31381,188,80,1.4.0,1103047,0.004029796
