pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
miningandco.com,https://decred.miningandco.com,755730000000,-1,-1,33,PPS,0,0,0,10,1036230,1765742228,0,0,77,0,1159307599467.0967,155,0,0
threepool.tech,https://dcr.threepool.tech,183580000000,-1,-1,35,PPLNS,0,0,0,10,1035248,1765422648,0,0,77,0,127204062528.58977,156,0,0
woolypooly.com,https://woolypooly.com,45812985856,2,0.05,37,PPLNS%0.9|SOLO%0.9,0,0,16020,0,1037687,1766137105,4,0,77,0,243239510247.56406,156,0,0
cedric-crispin.com,https://decred.cedric-crispin.com,2860563910573,26,0.001,36,PPLNS,0,0,19532,21,1037869,1766194950,147,11,77,0,3086260348974.3594,156,0,0
icminers.com,https://icminers.com/#dcr-shared,-1,-1,-1,39,PPLNS,0,0,0,0,0,0,0,0,0,0,0,4,0,0
