side,qty,rate,time
2,6.0,17869410,2025-08-27 02:15:08.468
2,6.0,17704120,2025-08-27 02:15:07.700
2,6.0,17538830,2025-08-27 02:15:06.943
2,0.3,17382270,2025-08-26 23:40:52.080
2,6.0,17373530,2025-08-27 02:15:06.151
2,0.2,17215400,2025-08-26 23:40:51.321
2,6.0,17208240,2025-08-27 02:15:05.408
2,0.1,17048530,2025-08-26 23:40:51.066
2,0.1,16881660,2025-08-26 23:40:50.732
1,0.1,16306710,2025-08-27 01:04:31.633
1,0.1,16141300,2025-08-27 01:04:32.553
1,0.2,15975900,2025-08-27 01:04:33.507
1,6.0,15850560,2025-08-27 02:15:01.397
1,0.3,15810490,2025-08-27 01:04:34.373
1,6.0,15685270,2025-08-27 02:15:02.216
1,6.0,15519970,2025-08-27 02:15:03.002
1,6.0,15354680,2025-08-27 02:15:03.784
1,6.0,15189390,2025-08-27 02:15:04.578
