side,qty,rate,time
2,0.2,17893570,2025-09-09 02:19:37.327
2,0.2,17809200,2025-09-09 02:19:37.096
2,0.2,17724840,2025-09-09 02:19:36.843
2,0.2,17640470,2025-09-09 02:19:36.610
2,0.2,17556110,2025-09-09 02:19:36.383
2,0.2,17471750,2025-09-09 02:19:36.115
2,0.2,17387380,2025-09-09 02:19:35.875
2,0.2,17303020,2025-09-09 02:19:35.634
2,0.2,17218650,2025-09-09 02:19:35.394
2,0.2,17134290,2025-09-09 02:19:35.142
2,0.2,17049920,2025-09-09 02:19:34.885
2,0.2,16965560,2025-09-09 02:19:34.642
1,0.2,16780240,2025-09-09 02:19:31.655
1,0.2,16695880,2025-09-09 02:19:31.923
1,0.2,16611510,2025-09-09 02:19:32.166
1,0.2,16527150,2025-09-09 02:19:32.434
1,0.2,16442780,2025-09-09 02:19:32.658
1,0.2,16358420,2025-09-09 02:19:32.868
1,0.2,16274050,2025-09-09 02:19:33.104
1,0.2,16189690,2025-09-09 02:19:33.331
1,0.2,16105330,2025-09-09 02:19:33.582
1,0.2,16020960,2025-09-09 02:19:33.824
1,0.2,15936600,2025-09-09 02:19:34.044
1,0.2,15852230,2025-09-09 02:19:34.288
