side,qty,rate,time
2,10.0,18209460,2025-09-10 02:04:33.471
2,10.0,18041040,2025-09-10 02:04:33.225
2,0.2,17932740,2025-09-10 01:43:37.682
2,10.0,17872630,2025-09-10 02:04:32.977
2,0.2,17848190,2025-09-10 01:43:37.415
2,0.2,17763640,2025-09-10 01:43:37.155
2,10.0,17704220,2025-09-10 02:04:32.726
2,0.2,17679090,2025-09-10 01:43:36.898
2,0.2,17594530,2025-09-10 01:43:36.659
2,10.0,17535800,2025-09-10 02:04:32.454
2,0.2,17509980,2025-09-10 01:43:36.434
2,0.2,17425430,2025-09-10 01:43:36.157
2,0.2,17340880,2025-09-10 01:43:35.914
2,0.2,17256330,2025-09-10 01:43:35.641
2,0.2,17171780,2025-09-10 01:43:35.434
2,0.2,17087230,2025-09-10 01:43:35.144
2,0.2,17002680,2025-09-10 01:43:34.906
1,0.2,16817760,2025-09-10 01:43:31.798
1,0.2,16733210,2025-09-10 01:43:32.094
1,0.2,16648660,2025-09-10 01:43:32.319
1,0.2,16564110,2025-09-10 01:43:32.567
1,0.2,16479560,2025-09-10 01:43:32.804
1,0.2,16395010,2025-09-10 01:43:33.059
1,0.2,16310460,2025-09-10 01:43:33.297
1,0.2,16225910,2025-09-10 01:43:33.566
1,10.0,16147060,2025-09-10 02:04:31.178
1,0.2,16141350,2025-09-10 01:43:33.854
1,0.2,16056800,2025-09-10 01:43:34.083
1,10.0,15978640,2025-09-10 02:04:31.446
1,0.2,15972250,2025-09-10 01:43:34.342
1,0.2,15887700,2025-09-10 01:43:34.562
1,10.0,15810230,2025-09-10 02:04:31.671
1,10.0,15641820,2025-09-10 02:04:31.950
1,10.0,15473400,2025-09-10 02:04:32.183
