side,qty,rate,time
2,0.1,291249176210,2026-03-20 03:05:20.338
2,0.1,288605625400,2026-03-20 03:05:20.075
2,0.1,285962074580,2026-03-20 03:05:19.783
2,0.1,283318523760,2026-03-20 03:05:19.478
2,0.1,280674972940,2026-03-20 03:05:19.200
2,0.1,278031422120,2026-03-20 03:05:18.909
1,0.1,250678741660,2026-03-20 03:05:17.130
1,0.1,248035190840,2026-03-20 03:05:17.392
1,0.1,245391640020,2026-03-20 03:05:17.674
1,0.1,242748089200,2026-03-20 03:05:17.949
1,0.1,240104538380,2026-03-20 03:05:18.228
1,0.1,237460987570,2026-03-20 03:05:18.507
