side,qty,rate,time
2,0.1,334350041030,2026-03-11 02:54:50.146
2,0.1,330653948980,2026-03-11 03:18:47.118
2,0.1,327625183110,2026-03-11 03:18:46.847
2,0.1,324596417230,2026-03-11 03:18:46.572
2,0.1,321567651360,2026-03-11 03:18:46.302
2,0.1,318538885480,2026-03-11 03:18:46.048
1,0.1,287685198990,2026-03-11 02:54:47.010
1,0.1,284650880750,2026-03-11 02:54:47.272
1,0.1,281616562500,2026-03-11 02:54:47.535
1,0.1,278582244260,2026-03-11 02:54:47.805
1,0.1,275547926020,2026-03-11 02:54:48.074
1,0.1,272513607770,2026-03-11 02:54:48.343
