side,qty,rate,time
2,360.0,100000,2025-05-26 11:18:48.732
2,160.0,20000,2025-05-19 05:26:07.790
2,400.0,20000,2025-05-26 11:18:26.740
2,160.0,18000,2025-05-19 05:25:53.415
2,40.0,17000,2025-05-26 08:00:43.126
2,40.0,16000,2025-05-26 08:00:29.373
2,40.0,15000,2025-05-20 04:30:08.889
2,40.0,14170,2025-06-01 02:48:45.396
1,40.0,13930,2025-06-01 02:54:45.770
1,40.0,13880,2025-06-01 02:54:45.957
1,40.0,13840,2025-06-01 02:54:46.262
1,40.0,13730,2025-06-01 02:47:00.457
1,40.0,13700,2025-06-01 01:35:31.610
1,40.0,13610,2025-05-31 21:59:31.098
