baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
usdc.polygon,usdt.polygon,100000000,0,0.0,0,100000000,100000000,0.0,2025-08-20 02:26:45.019
dcr,usdc.polygon,17980000,0,0.0,0,17980000,17980000,0.0,2025-08-20 02:26:45.019
dcr,usdt.polygon,16591400,0,0.0,0,16591400,16591400,0.0,2025-08-20 02:26:45.019
dcr,btc,14990,0,0.019727891156462583,3360,14990,14610,57512.48075652912,2025-08-20 02:26:45.019
dcr,polygon,70786002030,0,0.0,0,70786002030,70786002030,0.0,2025-08-20 02:26:45.019
firo,usdc.polygon,682810,0,0.0,0,682810,682810,0.0,2025-08-20 02:26:45.019
ltc,usdt.polygon,88146680,0,0.0,0,88146680,88146680,0.0,2025-08-20 02:26:45.019
btc,usdt.polygon,110160976260,0,0.0,0,110160976260,110160976260,0.0,2025-08-20 02:26:45.016
